"Symbole accepté","Synonyme icône","Nom scientifique","Durée de l'accord","Période de croissance active","Couleur du feuillage","pH (minimum)","pH (maximum)","Précipitations (minimum)","Précipitations (maximum)","Tolérance à l'ombre","Température minimum (°F)"
"CYES","","Cyperus esculentus","Vivace","Été et automne","Vert","5.0","7.0","14","55","Intolérant","42"
"CYESL","","Cyperus esculentus var. leptostachyus","Vivace","","","","","","","",""
"CYESS","","Cyperus esculentus var. sativus","Vivace","","","","","","","",""
"CYFI","","Cyperus filicinus","Annuelle, Vivace","","","","","","","",""
"CYFL","","Cyperus flavescens","Annuelle","Été et automne","Vert","5.0","7.0","24","55","Intolérant","42"
"CYFL5","","Cyperus flavicomus","Annuelle","","","","","","","",""
"CYFU3","","Cyperus fuscus","Annuelle","","","","","","","",""
"CYGR2","","Cyperus grayi","Vivace","","","","","","","",""
"CYHO","","Cyperus houghtonii","Vivace","","","","","","","",""
"CYHY","","Cyperus hystricinus","Vivace","","","","","","","",""
"CYIR","","Cyperus iria","Annuelle","","","","","","","",""
"CYLA3","","Cyperus lancastriensis","Vivace","Été et automne","Vert","5.0","7.0","32","55","Intolérant","7"
"CYLU2","","Cyperus lupulinus","Vivace","","","","","","","",""
"CYLUL","","Cyperus lupulinus ssp. lupulinus","Vivace","","","","","","","",""
"CYLUM","","Cyperus lupulinus ssp. macilentus","Vivace","","","","","","","",""
"CYOD","","Cyperus odoratus","Annuelle, Vivace","Été et automne","Vert","5.0","8.3","18","55","Intolérant","42"
"CYPL3","","Cyperus plukenetii","Vivace","","","","","","","",""
"CYPO","","Cyperus polystachyos","Annuelle, Vivace","Printemps et automne","Vert","4.5","6.5","32","55","Intolérant","47"
"CYPOT","","Cyperus polystachyos var. texensis","Annuelle, Vivace","","","","","","","",""
"CYPS","","Cyperus pseudovegetus","Vivace","Printemps, été, automne","Vert","4.6","6.8","30","55","Intolérant","7"
"CYRE3","","Cyperus refractus","Vivace","","","","","","","",""
"CYRE4","","Cyperus retrofractus","Vivace","","","","","","","",""
"CYRE5","","Cyperus retrorsus","Vivace","","","","","","","",""
"CYRER2","","Cyperus retrorsus var. retrorsus","Vivace","","","","","","","",""
"CYRO","","Cyperus rotundus","Vivace","","","","","","","",""
"CYSQ","","Cyperus squarrosus","Annuelle","","","","","","","",""
"CYST","","Cyperus strigosus","Vivace","Printemps","Vert","6.4","7.0","16","60","Intolérant","-33"
"CYPRI","","Cypripedium","","","","","","","","",""
"CYAC3","","Cypripedium acaule","Vivace","","","","","","","",""
"CYCA5","","Cypripedium candidum","Vivace","","","","","","","",""
"CYPA19","","Cypripedium parviflorum","Vivace","","","","","","","",""
"CYPAP4","","Cypripedium parviflorum var. parviflorum","Vivace","","","","","","","",""
"CYPAP3","","Cypripedium parviflorum var. pubescens","Vivace","","","","","","","",""
"CYRE6","","Cypripedium reginae","Vivace","","","","","","","",""
"CYSTO","","Cystopteris","","","","","","","","",""
"CYBU3","","Cystopteris bulbifera","Vivace","","","","","","","",""
"CYPR4","","Cystopteris protrusa","Vivace","","","","","","","",""
"CYTE3","","Cystopteris tennesseensis","Vivace","","","","","","","",""
"CYTE7","","Cystopteris tenuis","Vivace","","","","","","","",""
"CYTIS","","Cytisus","","","","","","","","",""
"CYSC4","","Cytisus scoparius","Vivace","Printemps et été","Vert","5.5","7.0","30","60","Intolérant","-13"
"CYSCS2","","Cytisus scoparius var. scoparius","Vivace","","","","","","","",""
"DACTY","","Dactylis","","","","","","","","",""
"DAGL","","Dactylis glomerata","Vivace","Printemps et automne","Vert","5.0","7.5","32","65","Tolérant","-33"
"DAGLG","","Dactylis glomerata ssp. glomerata","Vivace","","","","","","","",""
"DACTY2","","Dactyloctenium","","","","","","","","",""
"DAAE","","Dactyloctenium aegyptium","Annuelle","","","","","","","",""
"DAGE","","Dactyloctenium germinatum","Vivace","","","","","","","",""
"DACTY3","","Dactylorhiza","","","","","","","","",""
"DAVI6","","Dactylorhiza viridis","Vivace","","","","","","","",""
"DALEA","","Dalea","","","","","","","","",""
"DABR","","Dalea brachystachya","Annuelle, Biennale","","","","","","","",""
"DACA9","","Dalea carthagenensis","Vivace","","","","","","","",""
"DACAF","","Dalea carthagenensis var. floridana","Vivace","","","","","","","",""
"DALIB","","Dalibarda","","","","","","","","",""
"DARE","","Dalibarda repens","Vivace","","","","","","","",""
"DANTH","","Danthonia","","","","","","","","",""
"DACO","","Danthonia compressa","Vivace","Printemps","Vert","4.8","7.0","32","55","Tolérant","-33"
"DASE2","","Danthonia sericea","Vivace","","","","","","","",""
"DASP2","","Danthonia spicata","Vivace","","","","","","","",""
"DASYO","","Dasyochloa","","","","","","","","",""
"DAPU7","","Dasyochloa pulchella","Vivace","","","","","","","",""
"DATUR","","Datura","","","","","","","","",""
"DAIN2","","Datura inoxia","Annuelle, Vivace","","","","","","","",""
"DAQU","","Datura quercifolia","Annuelle","","","","","","","",""
"DAST","","Datura stramonium","Annuelle","","","","","","","",""
"DAWR2","","Datura wrightii","Annuelle, Vivace","","","","","","","",""
"DAUCU","","Daucus","","","","","","","","",""
"DACA6","","Daucus carota","Biennale","","","","","","","",""
"DECOD","","Decodon","","","","","","","","",""
"DEVE","","Decodon verticillatus","Vivace","Été et automne","Vert","4.9","8.6","30","60","Intermédiaire","-23"
"DELPH","","Delphinium","","","","","","","","",""
"DEEX","","Delphinium exaltatum","Vivace","","","","","","","",""
"DETR","","Delphinium tricorne","Vivace","","","","","","","",""
"DENNS","","Dennstaedtia","","","","","","","","",""
"DEPU2","","Dennstaedtia punctilobula","Vivace","","","","","","","",""
"DEPAR","","Deparia","","","","","","","","",""
"DEAC4","","Deparia acrostichoides","Vivace","","","","","","","",""
"DESCH","","Deschampsia","","","","","","","","",""
"DECE","","Deschampsia cespitosa","Vivace","","","","","","","",""
"DEFL","","Deschampsia flexuosa","Vivace","Printemps et été","Vert","4.8","6.8","32","55","Tolérant","-38"
"DEFLF","","Deschampsia flexuosa var. flexuosa","Vivace","","","","","","","",""
"DESCU","","Descurainia","","","","","","","","",""
"DEPI","","Descurainia pinnata","Annuelle, Biennale, Vivace","","","","","","","",""
"DEPIB","","Descurainia pinnata ssp. brachycarpa","Annuelle, Biennale","","","","","","","",""
"DESO2","","Descurainia sophia","Annuelle, Biennale","","","","","","","",""
"DESMA","","Desmanthus","","","","","","","","",""
"DEIL","","Desmanthus illinoensis","Vivace","Printemps et été","Vert","5.0","8.0","16","24","Intolérant","-18"
"DESMO","","Desmodium","","","","","","","","",""
"DECA7","","Desmodium canadense","Vivace","","","","","","","",""
"DECA8","","Desmodium canescens","Vivace","","","","","","","",""
"DECI","","Desmodium ciliare","Vivace","","","","","","","",""
"DECIC","","Desmodium ciliare var. ciliare","Vivace","","","","","","","",""
"DECU","","Desmodium cuspidatum","Vivace","","","","","","","",""
"DECUC","","Desmodium cuspidatum var. cuspidatum","Vivace","","","","","","","",""
"DEFE","","Desmodium fernaldii","Vivace","","","","","","","",""
"DEGL4","","Desmodium glabellum","Vivace","","","","","","","",""
"DEGL5","","Desmodium glutinosum","Vivace","","","","","","","",""
"DEHU3","","Desmodium humifusum","Vivace","","","","","","","",""
"DELA2","","Desmodium laevigatum","Vivace","","","","","","","",""
"DELI2","","Desmodium lineatum","Vivace","","","","","","","",""
"DEMA2","","Desmodium marilandicum","Vivace","","","","","","","",""
"DENU4","","Desmodium nudiflorum","Vivace","","","","","","","",""
"DENU5","","Desmodium nuttallii","Vivace","","","","","","","",""
"DEOB5","","Desmodium obtusum","Vivace","","","","","","","",""
"DEOC2","","Desmodium ochroleucum","Vivace","","","","","","","",""
"DEPA6","","Desmodium paniculatum","Vivace","Printemps et été","Vert","6.0","7.0","45","90","Intermédiaire","-13"
"DEPAP2","","Desmodium paniculatum var. paniculatum","Vivace","","","","","","","",""
"DEPA7","","Desmodium pauciflorum","Vivace","","","","","","","",""
"DEPE80","","Desmodium perplexum","Vivace","Été","Vert","5.6","7.0","20","60","Intermédiaire","-33"
"DERO3","","Desmodium rotundifolium","Vivace","","","","","","","",""
"DESE","","Desmodium sessilifolium","Vivace","","","","","","","",""
"DEST2","","Desmodium strictum","Vivace","","","","","","","",""
"DETE3","","Desmodium tenuifolium","Vivace","","","","","","","",""
"DEVI4","","Desmodium viridiflorum","Vivace","","","","","","","",""
"DEUTZ","","Deutzia","","","","","","","","",""
"DEGR3","","Deutzia gracilis","Vivace","","","","","","","",""
"DESC4","","Deutzia scabra","Vivace","","","","","","","",""
"DIANT","","Dianthus","","","","","","","","",""
"DIAR","","Dianthus armeria","Annuelle, Biennale","","","","","","","",""
"DIBA","","Dianthus barbatus","Vivace","","","","","","","",""
"DIDE","","Dianthus deltoides","Vivace","","","","","","","",""
"DIPL","","Dianthus plumarius","Vivace","","","","","","","",""
"DIARR","","Diarrhena","","","","","","","","",""
"DIAM","","Diarrhena americana","Vivace","","","","","","","",""
"DIOB3","","Diarrhena obovata","Vivace","","","","","","","",""
"DICEN","","Dicentra","","","","","","","","",""
"DICA","","Dicentra canadensis","Vivace","","","","","","","",""
"DICU","","Dicentra cucullaria","Vivace","","","","","","","",""
"DIEX","","Dicentra eximia","Vivace","","","","","","","",""
"DICHA2","","Dichanthelium","","","","","","","","",""
"DIAC","","Dichanthelium aciculare","Vivace","Été","Gris-vert","4.0","6.5","30","60","Intermédiaire","2"
"DIAC2","","Dichanthelium acuminatum","Vivace","","","","","","","",""
"DIACA","","Dichanthelium acuminatum var. acuminatum","Vivace","","","","","","","",""
"DIACF","","Dichanthelium acuminatum var. fasciculatum","Vivace","","","","","","","",""
"DIACL","","Dichanthelium acuminatum var. lindheimeri","Vivace","","","","","","","",""
"DIBO","","Dichanthelium boreale","Vivace","","","","","","","",""
"DIBO2","","Dichanthelium boscii","Vivace","","","","","","","",""
"DICL","","Dichanthelium clandestinum","Vivace","Printemps et été","Vert","4.0","7.5","32","65","Intolérant","-33"
"DICO2","","Dichanthelium commutatum","Vivace","Été","Vert","4.0","6.5","30","60","Intermédiaire","-28"
"DIDE4","","Dichanthelium depauperatum","Vivace","","","","","","","",""
"DIDI6","","Dichanthelium dichotomum","Vivace","","","","","","","",""
"DIDID","","Dichanthelium dichotomum var. dichotomum","Vivace","","","","","","","",""
"DIDIE","","Dichanthelium dichotomum var. ensifolium","Vivace","","","","","","","",""
"DIDIT","","Dichanthelium dichotomum var. tenue","Vivace","","","","","","","",""
"DILA8","","Dichanthelium latifolium","Vivace","Été","Vert","4.0","6.5","20","60","Intermédiaire","-43"
"DILA9","","Dichanthelium laxiflorum","Vivace","","","","","","","",""
"DILE4","","Dichanthelium leucothrix","Vivace","","","","","","","",""
"DILI2","","Dichanthelium linearifolium","Vivace","","","","","","","",""
"DILO4","","Dichanthelium longiligulatum","Vivace","","","","","","","",""
"DIME2","","Dichanthelium meridionale","Vivace","","","","","","","",""
"DIOL","","Dichanthelium oligosanthes","Vivace","","","","","","","",""
"DIOLO","","Dichanthelium oligosanthes var. oligosanthes","Vivace","","","","","","","",""
"DIOLS","","Dichanthelium oligosanthes var. scribnerianum","Vivace","","","","","","","",""
"DIOV","","Dichanthelium ovale","Vivace","Printemps","Vert","4.0","6.5","35","50","Tolérant","-13"
"DIOVA","","Dichanthelium ovale var. addisonii","Vivace","","","","","","","",""
"DIOVO","","Dichanthelium ovale var. ovale","Vivace","","","","","","","",""
"DIRA","","Dichanthelium ravenelii","Vivace","","","","","","","",""
"DISA5","","Dichanthelium sabulorum","Vivace","","","","","","","",""
"DISAP","","Dichanthelium sabulorum var. patulum","Vivace","","","","","","","",""
"DISAT","","Dichanthelium sabulorum var. thinium","Vivace","","","","","","","",""
"DISC2","","Dichanthelium scabriusculum","Vivace","Été","Vert","4.0","7.0","40","65","Intermédiaire","-3"
"DISC3","","Dichanthelium scoparium","Vivace","Été","Gris-vert","4.5","7.5","30","55","Tolérant","-38"
"DISP2","","Dichanthelium sphaerocarpon","Vivace","","","","","","","",""
"DISPI","","Dichanthelium sphaerocarpon var. isophyllum","Vivace","","","","","","","",""
"DISPS3","","Dichanthelium sphaerocarpon var. sphaerocarpon","Vivace","","","","","","","",""
"DISP4","","Dichanthelium spretum","Vivace","","","","","","","",""
"DIVI7","","Dichanthelium villosissimum","Vivace","","","","","","","",""
"DIVIV","","Dichanthelium villosissimum var. villosissimum","Vivace","","","","","","","",""
"DIWR3","","Dichanthelium wrightianum","Vivace","","","","","","","",""
"DICHO","","Dichondra","","","","","","","","",""
"DICA3","","Dichondra carolinensis","Vivace","","","","","","","",""
"DIMI","","Dichondra micrantha","Vivace","","","","","","","",""
"DIERV","","Diervilla","","","","","","","","",""
"DILO","","Diervilla lonicera","Vivace","Printemps","Vert foncé","4.8","7.0","32","50","Intermédiaire","-23"
"DIGIT","","Digitalis","","","","","","","","",""
"DILA3","","Digitalis lanata","Vivace","","","","","","","",""
"DILU","","Digitalis lutea","Vivace","","","","","","","",""
"DIPU","","Digitalis purpurea","Biennale","Printemps et été","Vert foncé","5.5","7.0","40","60","Intolérant","-13"
"DIPUP2","","Digitalis purpurea ssp. purpurea","Biennale","","","","","","","",""
"DIGIT2","","Digitaria","","","","","","","","",""
"DICI","","Digitaria ciliaris","Annuelle","","","","","","","",""
"DICO6","","Digitaria cognata","Vivace","","","","","","","",""
"DIFI","","Digitaria filiformis","Annuelle, Vivace","","","","","","","",""
"DIIS","","Digitaria ischaemum","Annuelle","","","","","","","",""
"DILO2","","Digitaria longiflora","Annuelle","","","","","","","",""
"DISA","","Digitaria sanguinalis","Annuelle","","","","","","","",""
"DIVI","","Digitaria villosa","Vivace","","","","","","","",""
"DINEB","","Dinebra","","","","","","","","",""
"DIRE7","","Dinebra retroflexa","Annuelle","","","","","","","",""
"DIODI","","Diodia","","","","","","","","",""
"DITE2","","Diodia teres","Annuelle, Vivace","","","","","","","",""
"DITEH","","Diodia teres var. hystricina","Annuelle, Vivace","","","","","","","",""
"DITET","","Diodia teres var. teres","Annuelle, Vivace","","","","","","","",""
"DIVI3","","Diodia virginiana","Annuelle, Vivace","","","","","","","",""
"DIVIV2","","Diodia virginiana var. virginiana","Annuelle, Vivace","","","","","","","",""
"DIOSC","","Dioscorea","","","","","","","","",""
"DIOP","","Dioscorea oppositifolia","Vivace","","","","","","","",""
"DIQU","","Dioscorea quaternata","Vivace","","","","","","","",""
"DIVI4","","Dioscorea villosa","Vivace","","","","","","","",""
"DIOSP","","Diospyros","","","","","","","","",""
"DIVI5","","Diospyros virginiana","Vivace","Printemps et été","Vert foncé","4.7","7.5","30","80","Tolérant","-21"
"DIPLA2","","Diplazium","","","","","","","","",""
"DIPY","","Diplazium pycnocarpon","Vivace","","","","","","","",""
"DIPLO","","Diplotaxis","","","","","","","","",""
"DISI8","","Diplotaxis siifolia","Annuelle","","","","","","","",""
"DITE4","","Diplotaxis tenuifolia","Vivace","","","","","","","",""
"DIPSA","","Dipsacus","","","","","","","","",""
"DIFU2","","Dipsacus fullonum","Biennale","","","","","","","",""
"DILA4","","Dipsacus laciniatus","Biennale","","","","","","","",""
"DIRCA","","Dirca","","","","","","","","",""
"DIPA9","","Dirca palustris","Vivace","","","","","","","",""
"DISTI","","Distichlis","","","","","","","","",""
"DISP","","Distichlis spicata","Vivace","Printemps, été, automne","Vert","6.4","10.0","5","70","Intolérant","-35"
"DODEC","","Dodecatheon","","","","","","","","",""
"DOME","","Dodecatheon meadia","Vivace","Printemps","Vert","4.5","7.5","30","55","Tolérant","-38"
"DOMEM3","","Dodecatheon meadia ssp. meadia","Vivace","","","","","","","",""
"DOELL2","","Doellingeria","","","","","","","","",""
"DOIN2","","Doellingeria infirma","Vivace","","","","","","","",""
"DOSE","","Doellingeria sericocarpoides","Vivace","","","","","","","",""
"DOUM2","","Doellingeria umbellata","Vivace","","","","","","","",""
"DOUMU","","Doellingeria umbellata var. umbellata","Vivace","","","","","","","",""
"DRABA","","Draba","","","","","","","","",""
"DRRA","","Draba ramosissima","Vivace","","","","","","","",""
"DRVE2","","Draba verna","Annuelle","","","","","","","",""
"DRACO","","Dracocephalum","","","","","","","","",""
"DRPA2","","Dracocephalum parviflorum","Annuelle, Biennale, Vivace","","","","","","","",""
"DROSE","","Drosera","","","","","","","","",""
"DRCA2","","Drosera capillaris","Vivace","","","","","","","",""
"DRFI","","Drosera filiformis","Vivace","","","","","","","",""
"DRIN3","","Drosera intermedia","Vivace","","","","","","","",""
"DRRO","","Drosera rotundifolia","Vivace","","","","","","","",""
"DRROR","","Drosera rotundifolia var. rotundifolia","Vivace","","","","","","","",""
"DRYOP","","Dryopteris","","","","","","","","",""
"DRAU5","","Dryopteris ×australis","Vivace","","","","","","","",""
"DRBO2","","Dryopteris ×boottii","Vivace","","","","","","","",""
"DRBU","","Dryopteris ×burgessii","Vivace","","","","","","","",""
"DRCA3","","Dryopteris campyloptera","Vivace","","","","","","","",""
"DRCA11","","Dryopteris carthusiana","Vivace","","","","","","","",""
"DRCE","","Dryopteris celsa","Vivace","","","","","","","",""
"DRCR4","","Dryopteris cristata","Vivace","Printemps et été","Vert foncé","3.5","6.5","15","55","Tolérant","-33"
"DRGO","","Dryopteris goldiana","Vivace","","","","","","","",""
"DRIN5","","Dryopteris intermedia","Vivace","","","","","","","",""
"DRLE2","","Dryopteris ×leedsii","Vivace","","","","","","","",""
"DRMA4","","Dryopteris marginalis","Vivace","","","","","","","",""
"DRNE2","","Dryopteris ×neowherryi","Vivace","","","","","","","",""
"DRSE2","","Dryopteris ×separabilis","Vivace","","","","","","","",""
"DRSL","","Dryopteris ×slossoniae","Vivace","","","","","","","",""
"DRTR","","Dryopteris ×triploidea","Vivace","","","","","","","",""
"DRUL2","","Dryopteris ×uliginosa","Vivace","","","","","","","",""
"DUCHE","","Duchesnea","","","","","","","","",""
"DUIN","","Duchesnea indica","Vivace","","","","","","","",""
"DULIC","","Dulichium","","","","","","","","",""
"DUAR3","","Dulichium arundinaceum","Vivace","Été","Vert foncé","4.7","7.5","16","60","Intermédiaire","-38"
"DUARA","","Dulichium arundinaceum var. arundinaceum","Vivace","","","","","","","",""
"DYSPH","","Dysphania","","","","","","","","",""
"DYAM","","Dysphania ambrosioides","Annuelle","","","","","","","",""
"DYAN2","","Dysphania anthelmintica","Annuelle","","","","","","","",""
"DYBO","","Dysphania botrys","Annuelle","","","","","","","",""
"DYPL","","Dysphania plantaginella","Annuelle","","","","","","","",""
"DYSSO","","Dyssodia","","","","","","","","",""
"DYPA","","Dyssodia papposa","Annuelle","","","","","","","",""
"ECHIN","","Echinacea","","","","","","","","",""
"ECPA","","Echinacea pallida","Vivace","Printemps et été","Vert","6.5","7.2","14","40","Intolérant","-33"
"ECPU","","Echinacea purpurea","Vivace","Printemps et été","Vert","6.5","7.2","14","40","Intolérant","-33"
"ECHIN4","","Echinochloa","","","","","","","","",""
"ECCO2","","Echinochloa colona","Annuelle","Printemps","Vert","4.0","8.5","12","60","Intolérant","37"
"ECCR","","Echinochloa crus-galli","Annuelle","","","","","","","",""
"ECCR2","","Echinochloa crus-pavonis","Annuelle","","","","","","","",""
"ECCRM","","Echinochloa crus-pavonis var. macera","Annuelle","","","","","","","",""
"ECFR","","Echinochloa frumentacea","Annuelle","Printemps","Vert","4.7","7.4","18","60","Intolérant","37"
"ECMU2","","Echinochloa muricata","Annuelle","","","","","","","",""
"ECMUM","","Echinochloa muricata var. microstachya","Annuelle","","","","","","","",""
"ECMUM2","","Echinochloa muricata var. muricata","Annuelle","","","","","","","",""
"ECWA","","Echinochloa walteri","Annuelle","Été","Vert","3.8","9.4","28","50","Intolérant","32"
"ECHIN5","","Echinocystis","","","","","","","","",""
"ECLO","","Echinocystis lobata","Annuelle","","","","","","","",""
"ECHIN6","","Echinodorus","","","","","","","","",""
"ECCO3","","Echinodorus cordifolius","Vivace","","","","","","","",""
"ECHIN8","","Echinops","","","","","","","","",""
"ECSP","","Echinops sphaerocephalus","Vivace","","","","","","","",""
"ECHIU","","Echium","","","","","","","","",""
"ECIT","","Echium italicum","Biennale","","","","","","","",""
"ECVU","","Echium vulgare","Annuelle, Biennale, Vivace","","","","","","","",""
"ECLIP","","Eclipta","","","","","","","","",""
"ECPR","","Eclipta prostrata","Annuelle, Vivace","Été","Vert","5.2","7.9","35","50","Intermédiaire","32"
"EGERI","","Egeria","","","","","","","","",""
"EGDE","","Egeria densa","Vivace","","","","","","","",""
"ELAEA","","Elaeagnus","","","","","","","","",""
"ELAN","","Elaeagnus angustifolia","Vivace","Printemps et été","Blanc-gris","6.0","9.5","12","40","Intolérant","-38"
"ELCO","","Elaeagnus commutata","Vivace","Printemps et été","Blanc-gris","5.0","7.9","16","45","Intolérant","-38"
"ELMU","","Elaeagnus multiflora","Vivace","","","","","","","",""
"ELUM","","Elaeagnus umbellata","Vivace","Printemps et été","Blanc-gris","5.0","7.5","28","45","Intolérant","-23"
"ELUMP","","Elaeagnus umbellata var. parvifolia","Vivace","","","","","","","",""
"ELATI","","Elatine","","","","","","","","",""
"ELAM3","","Elatine americana","Annuelle","","","","","","","",""
"ELMI","","Elatine minima","Annuelle","","","","","","","",""
"ELEOC","","Eleocharis","","","","","","","","",""
"ELAC","","Eleocharis acicularis","Annuelle, Vivace","Printemps, été, automne","","4.5","7.0","14","50","Intolérant","-23"
"ELACA","","Eleocharis acicularis var. acicularis","Annuelle, Vivace","","","","","","","",""
"ELAL","","Eleocharis albida","Vivace","","","","","","","",""
"ELCO2","","Eleocharis compressa","Vivace","Printemps et été","","5.4","7.0","24","60","Intolérant","-33"
"ELCOC2","","Eleocharis compressa var. compressa","Vivace","","","","","","","",""
"ELEN","","Eleocharis engelmannii","Annuelle","","","","","","","",""
"ELEQ","","Eleocharis equisetoides","Vivace","Été et automne","","5.0","7.0","35","60","Intolérant","-33"
"ELER","","Eleocharis erythropoda","Vivace","","","","","","","",""
"ELFA","","Eleocharis fallax","Vivace","","","","","","","",""
"ELFL","","Eleocharis flavescens","Vivace","","","","","","","",""
"ELFLF","","Eleocharis flavescens var. flavescens","Vivace","","","","","","","",""
"ELGE","","Eleocharis geniculata","Annuelle","","","","","","","",""
"ELHA2","","Eleocharis halophila","Vivace","","","","","","","",""
"ELIN","","Eleocharis intermedia","Vivace","","","","","","","",""
"ELME","","Eleocharis melanocarpa","Vivace","","","","","","","",""
"ELMI2","","Eleocharis microcarpa","Annuelle","","","","","","","",""
"ELOB2","","Eleocharis obtusa","Annuelle, Vivace","Printemps","Vert foncé","4.1","8.7","18","60","Intolérant","37"
"ELOL","","Eleocharis olivacea","Vivace","","","","","","","",""
"ELOLO","","Eleocharis olivacea var. olivacea","Vivace","","","","","","","",""
"ELOV","","Eleocharis ovata","Annuelle","Été et automne","","4.6","6.8","32","60","Intolérant","47"
"ELPA3","","Eleocharis palustris","Vivace","Printemps","Vert foncé","4.0","8.0","16","60","Intolérant","-38"
"ELPAP","","Eleocharis palustris var. palustris","Vivace","","","","","","","",""
"ELPA5","","Eleocharis parvula","Annuelle, Vivace","Été et automne","","6.0","8.0","18","60","Intolérant","-38"
"ELQU","","Eleocharis quadrangulata","Vivace","Printemps, été, automne","","5.8","7.2","24","60","Intolérant","-28"
"ELRO","","Eleocharis robbinsii","Vivace","","","","","","","",""
"ELRO2","","Eleocharis rostellata","Vivace","Printemps, été, automne","","6.0","8.0","10","55","Intolérant","-28"
"ELTE","","Eleocharis tenuis","Vivace","Printemps","Vert foncé","6.2","7.0","24","60","Intolérant","-23"
"ELTEP","","Eleocharis tenuis var. pseudoptera","Vivace","","","","","","","",""
"ELTET","","Eleocharis tenuis var. tenuis","Vivace","","","","","","","",""
"ELTEV","","Eleocharis tenuis var. verrucosa","Vivace","","","","","","","",""
"ELTO","","Eleocharis tortilis","Vivace","","","","","","","",""
"ELTR5","","Eleocharis tricostata","Vivace","","","","","","","",""
"ELTU","","Eleocharis tuberculosa","Vivace","","","","","","","",""
"ELEPH","","Elephantopus","","","","","","","","",""
"ELCA3","","Elephantopus carolinianus","Vivace","Été","Vert foncé","5.0","7.2","32","55","Intolérant","-13"
"ELNU","","Elephantopus nudatus","Vivace","","","","","","","",""
"ELTO2","","Elephantopus tomentosus","Vivace","","","","","","","",""
"ELEUS","","Eleusine","","","","","","","","",""
"ELIN3","","Eleusine indica","Annuelle","","","","","","","",""
"ELLIS","","Ellisia","","","","","","","","",""
"ELNY","","Ellisia nyctelea","Annuelle","","","","","","","",""
"ELODE","","Elodea","","","","","","","","",""
"ELCA7","","Elodea canadensis","Vivace","Printemps","Gris-vert","4.8","7.8","12","60","Intolérant","-33"
"ELNU2","","Elodea nuttallii","Vivace","","","","","","","",""
"ELYMU","","Elymus","","","","","","","","",""
"ELCA4","","Elymus canadensis","Vivace","Printemps, été, automne","Vert","5.0","7.9","20","45","Tolérant","-43"
"ELGL3","","Elymus glabriflorus","Vivace","","","","","","","",""
"ELHY","","Elymus hystrix","Vivace","","","","","","","",""
"ELHYB","","Elymus hystrix var. bigeloviana","Vivace","","","","","","","",""
"ELHYH","","Elymus hystrix var. hystrix","Vivace","","","","","","","",""
"ELMA","","Elymus macgregorii","Vivace","","","","","","","",""
"ELRE4","","Elymus repens","Vivace","Printemps et été","Vert","5.2","7.8","24","65","Intolérant","-43"
"ELRI","","Elymus riparius","Vivace","Printemps et été","Vert foncé","4.5","7.2","24","55","Tolérant","-33"
"ELTR7","","Elymus trachycaulus","Vivace","","","","","","","",""
"ELTRS","","Elymus trachycaulus ssp. subsecundus","Vivace","","","","","","","",""
"ELTRT","","Elymus trachycaulus ssp. trachycaulus","Vivace","Printemps","Vert","5.6","9.0","8","25","Intolérant","-38"
"ELVI","","Elymus villosus","Vivace","","","","","","","",""
"ELVI3","","Elymus virginicus","Vivace","Printemps","Vert","5.0","7.0","36","55","Tolérant","-28"
"ELVIH","","Elymus virginicus var. halophilus","Vivace","","","","","","","",""
"ELVIV","","Elymus virginicus var. virginicus","Vivace","","","","","","","",""
"ENNEA","","Enneapogon","","","","","","","","",""
"ENDE","","Enneapogon desvauxii","Vivace","","","","","","","",""
"EPIFA","","Epifagus","","","","","","","","",""
"EPVI2","","Epifagus virginiana","Annuelle","","","","","","","",""
"EPIGA","","Epigaea","","","","","","","","",""
"EPRE2","","Epigaea repens","Vivace","","","","","","","",""
"EPILO","","Epilobium","","","","","","","","",""
"EPCI","","Epilobium ciliatum","Vivace","","","","","","","",""
"EPCIC","","Epilobium ciliatum ssp. ciliatum","Vivace","","","","","","","",""
"EPCO","","Epilobium coloratum","Vivace","Printemps","Vert","4.5","7.5","20","55","Intermédiaire","-33"
"EPHI","","Epilobium hirsutum","Vivace","","","","","","","",""
"EPLE2","","Epilobium leptophyllum","Vivace","Printemps","Vert","4.0","6.5","15","50","Intermédiaire","-33"
"EPST","","Epilobium strictum","Vivace","","","","","","","",""
"EPIPA","","Epipactis","","","","","","","","",""
"EPHE","","Epipactis helleborine","Vivace","","","","","","","",""
"EQUIS","","Equisetum","","","","","","","","",""
"EQAR","","Equisetum arvense","Vivace","Printemps","Vert","4.0","7.0","20","100","Intermédiaire","-43"
"EQFE","","Equisetum ×ferrissii","Vivace","","","","","","","",""
"EQFL","","Equisetum fluviatile","Vivace","Printemps et été","Vert","4.5","6.0","30","55","Intolérant","-33"
"EQHY","","Equisetum hyemale","Vivace","","","","","","","",""
"EQHYA","","Equisetum hyemale var. affine","Vivace","","","","","","","",""
"EQLI","","Equisetum ×litorale","Vivace","","","","","","","",""
"EQSY","","Equisetum sylvaticum","Vivace","Printemps","Vert","4.0","6.5","20","100","Tolérant","-43"
"ERAGR","","Eragrostis","","","","","","","","",""
"ERBA2","","Eragrostis barrelieri","Annuelle","","","","","","","",""
"ERCA","","Eragrostis capillaris","Annuelle","","","","","","","",""
"ERCI","","Eragrostis cilianensis","Annuelle","","","","","","","",""
